CDK5RAP3	hsa-mir-379	0.7821817766955957
CDK5RAP3	0	0.2178298956631839
ABL1	hsa-mir-203	0.24763254959233308
ABL1	hsa-mir-484	-0.002526684790483591
ABL1	0	0.2713931352409789
SOCS3	hsa-mir-203	0.23534977568322954
SOCS3	0	0.2320244938658503
TP63	hsa-mir-203	0.2101349422689065
TP63	hsa-mir-21	0.043739068286831224
TP63	hsa-mir-302b	0.06144938157721974
TP63	0	0.23481515091915456
ERBB3	hsa-mir-125b	0.034135497500845643
ERBB3	hsa-mir-205	0.08010861680284077
ERBB3	0	0.23395582571683454
INPPL1	hsa-mir-205	0.10433217140641494
INPPL1	0	0.2307098202957725
MED1	hsa-mir-205	0.08722552452754778
MED1	0	0.241044602073026
PRKCE	hsa-mir-1	0.00019823307351835853
PRKCE	hsa-mir-205	0.085316969642175
PRKCE	0	0.2453647200900397
VEGFA	hsa-mir-106a	0.046246345357885944
VEGFA	hsa-mir-106b	0.0422302376351112
VEGFA	hsa-mir-107	-0.0033322366092457915
VEGFA	hsa-mir-126	0.02564288397895922
VEGFA	hsa-mir-15a	-0.03239609972737506
VEGFA	hsa-mir-16	0.028177152882324603
VEGFA	hsa-mir-17	0.009224872661475873
VEGFA	hsa-mir-205	0.05857740782123282
VEGFA	hsa-mir-20a	-0.0013230252926402862
VEGFA	hsa-mir-20b	0.11076771959465549
VEGFA	hsa-mir-302d	-0.012749069863188144
VEGFA	hsa-mir-330	0.13304215481672985
VEGFA	hsa-mir-34a	-0.028690103096740263
VEGFA	hsa-mir-372	0.049005270562585655
VEGFA	hsa-mir-373	-0.02988326824674192
VEGFA	hsa-mir-520g	0.13304215481672985
VEGFA	hsa-mir-520h	-0.11547898670522008
VEGFA	hsa-mir-93	-0.010050015606510504
VEGFA	0	0.21889117586882847
ZEB1	hsa-mir-200a	0.013327252400542194
ZEB1	hsa-mir-200b	0.03920675529771461
ZEB1	hsa-mir-200c	0.007086287945393151
ZEB1	hsa-mir-205	0.09076417270434906
ZEB1	hsa-mir-429	-0.020190436237990446
ZEB1	0	0.22988229892118728
ZEB2	hsa-mir-141	0.0858688538798611
ZEB2	hsa-mir-200a	-0.03564490075087372
ZEB2	hsa-mir-200b	0.02302073812061125
ZEB2	hsa-mir-205	0.0869613663439231
ZEB2	hsa-mir-429	-0.02491576142896987
ZEB2	0	0.22813878877923052
BMPR2	hsa-mir-17	-0.011516870012311494
BMPR2	hsa-mir-19a	-0.019248599573042657
BMPR2	hsa-mir-20a	0.02271191691078546
BMPR2	hsa-mir-21	0.022946024356234444
BMPR2	hsa-mir-92a	0.11425086586642604
BMPR2	0	0.2255736100436049
ITGA5	hsa-mir-484	-0.003160671847957888
ITGA5	hsa-mir-92a	0.07208132480852625
ITGA5	0	0.22650190300971462
MAP3K8	hsa-mir-370	0.47644588668944965
MAP3K8	hsa-mir-375	-0.008689057474399773
MAP3K8	0	0.2321276798844351
ADAM9	hsa-mir-373	0.01799400725486578
ADAM9	0	0.2158472486337544
ANKRD13B	hsa-mir-373	0.015754270097643845
ANKRD13B	0	0.18347584665854616
ARHGEF3	hsa-mir-373	0.017514773449429078
ARHGEF3	0	0.1987172587118917
BAZ1A	hsa-mir-373	0.008179415908749862
BAZ1A	hsa-mir-375	-0.006117427536956202
BAZ1A	0	0.22125784455077327
CD24	hsa-mir-373	0.017691891699281845
CD24	0	0.2047642308228549
CD44	hsa-mir-1	-0.003717251993074203
CD44	hsa-mir-34a	0.032696670428577435
CD44	hsa-mir-373	-0.0021747009828476244
CD44	hsa-mir-520c	-0.03169549489829961
CD44	hsa-mir-608	0.013748854241998645
CD44	hsa-mir-328	0.7537065662239756
CD44	0	0.23746681216019566
CDK19	hsa-mir-373	0.023925036003785913
CDK19	0	0.18162413243779502
CENPF	hsa-mir-1	-0.000630433320482215
CENPF	hsa-mir-373	0.02655638550854995
CENPF	hsa-mir-375	-0.005282054066103991
CENPF	0	0.21021423074251064
CFL2	hsa-mir-16	0.007983562232525021
CFL2	hsa-mir-21	0.024653624306588115
CFL2	hsa-mir-373	0.016238677080698524
CFL2	hsa-mir-375	-0.008450511221680392
CFL2	0	0.20824200853269062
CNOT6	hsa-mir-1	-0.003403129411411013
CNOT6	hsa-mir-373	0.018643896772972072
CNOT6	0	0.18185709810936804
GBP3	hsa-mir-373	0.018485451424863072
GBP3	0	0.18012575655527832
GPSM2	hsa-mir-373	0.01566838867856446
GPSM2	0	0.2064322729994514
HERPUD1	hsa-mir-373	0.009814206634048483
HERPUD1	hsa-mir-375	-0.000547714758915343
HERPUD1	0	0.22098468650006284
HSPA14	hsa-mir-373	0.018439756016121602
HSPA14	0	0.18014345454214967
INSIG2	hsa-mir-373	0.01273017974311143
INSIG2	hsa-mir-375	-0.004253679602638417
INSIG2	0	0.194723541540084
KIF23	hsa-mir-373	0.01687738464636475
KIF23	0	0.2245561105219435
KLHL12	hsa-mir-373	0.027713409135035304
KLHL12	0	0.22413792804172492
LATS2	hsa-mir-372	0.12250842422457703
LATS2	hsa-mir-373	-0.026993496948152652
LATS2	0	0.1868184281932469
LMNB1	hsa-mir-1	-0.001520269930581732
LMNB1	hsa-mir-373	0.013416158840594994
LMNB1	hsa-mir-484	0.0005371967895166437
LMNB1	0	0.2373008895615436
LUC7L2	hsa-mir-373	0.023883385937831937
LUC7L2	0	0.2376855047687378
MED28	hsa-let-7a	0.02189283404120287
MED28	hsa-let-7c	0.03322545344189477
MED28	hsa-mir-373	0.022780907963497955
MED28	0	0.22674282027294176
MICA	hsa-mir-373	0.02010092783750594
